month,GPR,GPRT,GPRA,SHARE_GPR,N10
1990-11,158.74354553222656,201.18106079101562,115.40345764160156,4.76132869720459,24804.0
1990-12,153.1624298095703,194.64852905273438,103.18325805664062,4.593929290771484,23161.0
1991-01,379.2497863769531,360.0328063964844,479.7158508300781,11.375157356262207,24659.0
1991-02,339.3580322265625,253.7916259765625,490.27374267578125,10.178650856018066,22390.0
1991-03,148.61831665039062,133.98248291015625,171.39544677734375,4.457633972167969,24430.0
1991-04,97.760009765625,100.77496337890625,88.50554656982422,2.9321980476379395,24896.0
1991-05,88.56902313232422,95.45738983154297,79.06768798828125,2.656525135040283,26689.0
1991-06,87.73383331298828,99.7988510131836,69.48858642578125,2.631474494934082,25195.0
1991-07,115.18467712402344,144.65106201171875,84.731201171875,3.4548308849334717,24198.0
1991-08,113.49502563476562,133.4146728515625,87.34529113769531,3.404151678085327,24617.0
1991-09,117.94219207763672,154.14364624023438,74.79663848876953,3.53753924369812,25187.0
1991-10,100.8318099975586,122.6444320678711,77.95648193359375,3.0243332386016846,27411.0
1991-11,100.7423324584961,120.3302230834961,77.58206176757812,3.0216493606567383,25913.0
1991-12,103.96953582763672,135.23251342773438,58.747432708740234,3.118445634841919,25269.0
1992-01,102.95763397216797,126.1564712524414,69.45668029785156,3.088094711303711,26165.0
1992-02,87.2034683227539,101.0959701538086,62.860504150390625,2.6155669689178467,25310.0
1992-03,85.29731750488281,107.12957000732422,53.69252014160156,2.558394193649292,27400.0
1992-04,85.85562133789062,92.64119720458984,74.40125274658203,2.5751397609710693,26484.0
1992-05,78.96814727783203,93.08229064941406,56.43539047241211,2.368557929992676,26894.0
1992-06,93.84909057617188,124.33613586425781,49.73001480102539,2.814894676208496,25969.0
1992-07,75.19676971435547,92.42886352539062,51.642940521240234,2.2554399967193604,26425.0
1992-08,81.64519500732422,87.55679321289062,70.1595230102539,2.448853015899658,25808.0
1992-09,74.6097183227539,92.68926239013672,45.73872375488281,2.2378320693969727,26052.0
1992-10,68.18277740478516,71.33625793457031,58.99306106567383,2.0450632572174072,27872.0
1992-11,91.00899505615234,109.6229248046875,68.5569076538086,2.7297091484069824,26120.0
1992-12,83.42096710205078,97.29403686523438,60.88547134399414,2.502115249633789,24819.0
1993-01,128.91807556152344,144.89353942871094,114.82777404785156,3.866748094558716,27827.0
1993-02,90.46806335449219,105.26100158691406,64.63740539550781,2.713484525680542,26571.0
1993-03,94.24144744873047,99.9146728515625,80.28809356689453,2.826663017272949,29434.0
1993-04,112.72166442871094,144.0390167236328,72.71391296386719,3.380955696105957,28838.0
1993-05,110.72975158691406,137.38629150390625,77.88386535644531,3.3212103843688965,29146.0
1993-06,104.19525146484375,125.46405029296875,73.33211517333984,3.125215768814087,28958.0
1993-07,123.31478881835938,131.75840759277344,107.0821533203125,3.698683977127075,28037.0
1993-08,97.2416763305664,97.08562469482422,94.7355728149414,2.9166512489318848,26983.0
1993-09,89.16477966308594,97.45659637451172,76.93018341064453,2.674394130706787,28642.0
1993-10,106.16590881347656,130.3068084716797,65.22377014160156,3.184323310852051,31027.0
1993-11,83.48017883300781,105.1309585571289,51.35593795776367,2.5038912296295166,29554.0
1993-12,79.55179595947266,97.06568145751953,50.134674072265625,2.386063814163208,28415.0
1994-01,83.48997497558594,93.09183502197266,65.27042388916016,2.5041849613189697,29271.0
1994-02,117.2420654296875,148.14723205566406,76.48810577392578,3.5165398120880127,27328.0
